         77636 function calls in 10.612 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12844   10.455    0.001   10.455    0.001 {built-in method time.sleep}
      351    0.048    0.000    0.048    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      159    0.036    0.000   10.498    0.066 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:278(wait_until_ready_to_run)
    14365    0.007    0.000    0.007    0.000 {built-in method time.time}
      160    0.004    0.000    0.006    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:196(_var)
      351    0.003    0.000    0.007    0.000 /usr/lib/python3.10/logging/__init__.py:283(__init__)
      948    0.003    0.000    0.044    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:486(step_sentry)
      634    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      634    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
      474    0.002    0.000    0.002    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
      314    0.002    0.000    0.008    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:163(_mean)
      158    0.002    0.000    0.022    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:208(mark_loop_start)
      632    0.001    0.000    0.002    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/stepper.py:290(step_sentry)
      697    0.001    0.000    0.002    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:522(_update_safety_vel_brake_zone)
      314    0.001    0.000    0.009    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3313(mean)
      948    0.001    0.000    0.002    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:539(get_dist_to_limits)
      351    0.001    0.000    0.060    0.000 /usr/lib/python3.10/logging/__init__.py:1680(callHandlers)
      351    0.001    0.000    0.002    0.000 /usr/lib/python3.10/logging/__init__.py:1549(findCaller)
      158    0.001    0.000    0.113    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/perf_timer.py:54(wrapper)
      316    0.001    0.000    0.046    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:276(step_sentry)
      351    0.001    0.000    0.001    0.000 {built-in method time.localtime}
      351    0.001    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:431(_format)
        1    0.001    0.001   10.612   10.612 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot.py:176(run)
      316    0.001    0.000    0.036    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:621(step_sentry)
       79    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot_monitor.py:101(monitor_dynamixel_flags)
      158    0.001    0.000    0.112    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot.py:157(step)
      351    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      351    0.001    0.000    0.006    0.000 /usr/lib/python3.10/logging/__init__.py:665(format)
      316    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:635(_update_safety_vel_brake_zone)
      351    0.001    0.000    0.072    0.000 /usr/lib/python3.10/logging/__init__.py:1455(debug)
      351    0.001    0.000    0.071    0.000 /usr/lib/python3.10/logging/__init__.py:1600(_log)
      160    0.001    0.000    0.007    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:263(_std)
      351    0.001    0.000    0.056    0.000 /usr/lib/python3.10/logging/__init__.py:1088(emit)
      158    0.001    0.000    0.086    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot.py:708(_step_sentry)
      158    0.001    0.000    0.003    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/base.py:516(step_sentry)
      351    0.001    0.000    0.050    0.000 /usr/lib/python3.10/logging/__init__.py:1077(flush)
     1845    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      789    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      316    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:652(get_dist_to_limits)
      351    0.001    0.000    0.058    0.000 /usr/lib/python3.10/logging/__init__.py:955(handle)
      351    0.001    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:140(basename)
      351    0.001    0.000    0.001    0.000 /usr/lib/python3.10/genericpath.py:121(_splitext)
      160    0.001    0.000    0.008    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3441(std)
     1896    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:134(get_soft_motion_limits)
      705    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       79    0.001    0.000    0.002    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot_monitor.py:38(step)
      474    0.001    0.000    0.017    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      351    0.001    0.000    0.008    0.000 /usr/lib/python3.10/logging/__init__.py:1585(makeRecord)
      351    0.001    0.000    0.002    0.000 /usr/lib/python3.10/logging/__init__.py:597(formatTime)
      351    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:117(splitext)
     1170    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      351    0.000    0.000    0.060    0.000 /usr/lib/python3.10/logging/__init__.py:1626(handle)
      702    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:912(acquire)
      702    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:919(release)
      351    0.000    0.000    0.057    0.000 /usr/lib/python3.10/logging/__init__.py:1204(emit)
      314    0.000    0.000    0.010    0.000 <__array_function__ internals>:177(mean)
      702    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:806(filter)
     1496    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      158    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:517(update_trajectory)
     3541    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1430(current_thread)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:119(getLevelName)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:1724(isEnabledFor)
     1053    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      351    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:643(usesTime)
      158    0.000    0.000    0.038    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/stretch_gripper.py:87(step_sentry)
      351    0.000    0.000    0.006    0.000 /usr/lib/python3.10/logging/__init__.py:932(format)
       79    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot_monitor.py:88(monitor_guarded_contact)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:160(<lambda>)
      746    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       79    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot_monitor.py:131(monitor_voltage)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:423(usesTime)
      351    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      948    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      158    0.000    0.000    0.002    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/wrist_pitch.py:58(step_sentry)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:41(_get_sep)
      351    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       79    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/base.py:473(update_trajectory)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:359(getMessage)
      702    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:52(normcase)
      697    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:433(bound_value)
      351    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:438(format)
      351    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:649(formatMessage)
      158    0.000    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/wrist_roll.py:58(step_sentry)
      474    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      158    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:255(mark_loop_end)
      160    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(std)
      632    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:101(get_soft_motion_limits)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1129(name)
