         11708053 function calls in 17.751 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15121   10.889    0.001   10.889    0.001 {built-in method time.sleep}
   821398    1.933    0.000    1.933    0.000 {built-in method select.select}
   820606    0.935    0.000    3.673    0.000 /usr/lib/python3/dist-packages/serial/serialposix.py:553(read)
     3168    0.563    0.000    5.710    0.002 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:249(rxPacket)
     3168    0.463    0.000    0.475    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:246(get_val)
   815062    0.360    0.000    0.553    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:100(getCurrentTime)
   820606    0.321    0.000    3.994    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:76(readPort)
   821398    0.317    0.000    0.421    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:127(__init__)
      792    0.272    0.000    0.272    0.000 {built-in method termios.tcdrain}
     9605    0.261    0.000    0.261    0.000 {built-in method posix.read}
   814270    0.232    0.000    0.784    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:103(getTimeSinceStart)
   814270    0.201    0.000    0.985    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:93(isPacketTimeout)
      792    0.145    0.000    6.756    0.009 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:236(sync_read)
  1655567    0.124    0.000    0.124    0.000 {built-in method builtins.len}
   815062    0.107    0.000    0.107    0.000 {built-in method builtins.round}
   820606    0.104    0.000    0.104    0.000 {built-in method time.monotonic}
   832351    0.095    0.000    0.095    0.000 {built-in method time.time}
      792    0.081    0.000    0.081    0.000 {built-in method posix.write}
   823774    0.080    0.000    0.080    0.000 {method 'extend' of 'list' objects}
   831003    0.076    0.000    0.076    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:141(time_left)
      265    0.039    0.000   10.937    0.041 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:278(wait_until_ready_to_run)
     3960    0.017    0.000    0.017    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:108(updateCRC)
     3168    0.008    0.000    0.010    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:190(removeStuffing)
    28336    0.008    0.000    0.008    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/robotis_def.py:54(DXL_MAKEWORD)
      268    0.006    0.000    0.009    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:196(_var)
     3168    0.005    0.000    5.715    0.002 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:528(readRx)
     1056    0.005    0.000    0.009    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:260(pull_status)
      792    0.005    0.000    5.720    0.007 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:90(rxPacket)
      792    0.005    0.000    0.111    0.000 /usr/lib/python3/dist-packages/serial/serialposix.py:612(write)
     1062    0.005    0.000    0.005    0.000 {built-in method numpy.asanyarray}
      264    0.004    0.000    6.772    0.026 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:146(pull_status)
    10397    0.004    0.000    0.006    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:137(expired)
     1062    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      792    0.004    0.000    0.005    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:154(addStuffing)
      792    0.004    0.000    0.398    0.001 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:212(txPacket)
     3168    0.004    0.000    0.008    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:130(getData)
      792    0.004    0.000    0.405    0.001 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:710(syncReadTx)
      792    0.003    0.000    0.478    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:272(<listcomp>)
      794    0.003    0.000    0.003    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
      264    0.003    0.000    0.035    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:208(mark_loop_start)
      526    0.003    0.000    0.012    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:163(_mean)
